id,clave,descripcion
catalogos_materiales_peligrosos212,M0212,PROYECTILES inertes con trazador (Producto o material explosivo),
catalogos_materiales_peligrosos213,M0213,PROYECTILES con carga dispersora o carga expulsora (Producto o material explosivo),
catalogos_materiales_peligrosos214,M0214,PROYECTILES con carga dispersora o carga expulsora (Producto o material explosivo),
catalogos_materiales_peligrosos215,M0215,"CARTUCHOS PARA ARMAS, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos216,M0216,"OBJETOS EXPLOSIVOS, N.E.P.",
catalogos_materiales_peligrosos217,M0217,"OBJETOS EXPLOSIVOS, N.E.P.",
catalogos_materiales_peligrosos218,M0218,"OBJETOS EXPLOSIVOS, N.E.P.",
catalogos_materiales_peligrosos219,M0219,"OBJETOS EXPLOSIVOS, N.E.P.",
catalogos_materiales_peligrosos220,M0220,"OBJETOS EXPLOSIVOS, N.E.P.",
catalogos_materiales_peligrosos221,M0221,"OBJETOS EXPLOSIVOS, N.E.P.",
catalogos_materiales_peligrosos222,M0222,"OBJETOS EXPLOSIVOS, N.E.P.",
catalogos_materiales_peligrosos223,M0223,"OBJETOS EXPLOSIVOS, N.E.P.",
catalogos_materiales_peligrosos224,M0224,"SUSTANCIAS EXPLOSIVAS, N.E.P.",
catalogos_materiales_peligrosos225,M0225,"SUSTANCIAS EXPLOSIVAS, N.E.P.",
catalogos_materiales_peligrosos226,M0226,"SUSTANCIAS EXPLOSIVAS, N.E.P.",
catalogos_materiales_peligrosos227,M0227,CONJUNTOS DE DETONADORES NO ELÉCTRICOS para voladuras (Producto o material explosivo),
catalogos_materiales_peligrosos228,M0228,CONJUNTOS DE DETONADORES NO ELÉCTRICOS para voladuras (Producto o material explosivo),
